epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6287,3.57424,3.93752,2.53051,0,0,0,0,3.46151,3.88246,2.79712,2e-05,2e-05,2e-05
2,23.9919,3.22824,3.93706,2.47698,0,0,0,0,3.26259,3.86647,2.62187,5.8812e-05,5.8812e-05,5.8812e-05
3,34.0917,3.14553,3.73199,2.41177,0,0,0,0,3.07485,3.8516,2.44618,9.604e-05,9.604e-05,9.604e-05
4,45.086,2.86038,3.71655,1.97765,0.00333,0.11765,0.00206,0.00021,3.2317,3.7807,2.33713,0.000131684,0.000131684,0.000131684
5,55.7015,2.72773,3.62502,1.8744,0.00833,0.29412,0.00813,0.00244,3.265,3.6091,2.09883,0.000165744,0.000165744,0.000165744
6,67.0339,2.65355,3.40599,1.82223,0.00833,0.29412,0.00813,0.00244,3.265,3.6091,2.09883,0.00019822,0.00019822,0.00019822
7,78.0562,2.54101,3.24023,1.67377,0.01333,0.47059,0.01917,0.00516,3.12964,3.51791,1.87951,0.000229112,0.000229112,0.000229112
8,90.0948,2.6774,3.18931,1.74634,0.01167,0.41176,0.01613,0.00501,3.06332,3.47676,1.78791,0.00025842,0.00025842,0.00025842
9,103.688,2.53732,2.85181,1.51204,0.01167,0.41176,0.01613,0.00501,3.06332,3.47676,1.78791,0.000286144,0.000286144,0.000286144
10,113.848,2.36535,2.90293,1.58339,0.01333,0.47059,0.02731,0.00723,3.11429,3.38469,1.74361,0.000312284,0.000312284,0.000312284
11,124.52,2.67512,2.52802,1.64349,0.01333,0.47059,0.02731,0.00723,3.11429,3.38469,1.74361,0.00033684,0.00033684,0.00033684
12,134.475,2.42531,2.3991,1.44305,0.01333,0.47059,0.06528,0.01289,2.80361,3.40838,1.67193,0.000359812,0.000359812,0.000359812
13,144.428,2.38632,2.19879,1.66855,0.01333,0.47059,0.06528,0.01289,2.80361,3.40838,1.67193,0.0003812,0.0003812,0.0003812
14,153.955,2.54061,2.03081,1.49538,0.01333,0.47059,0.06528,0.01289,2.80361,3.40838,1.67193,0.000401004,0.000401004,0.000401004
15,165.321,2.29741,2.0815,1.45451,0.015,0.52941,0.05852,0.01669,2.74371,3.26046,1.65216,0.000419224,0.000419224,0.000419224
16,176.986,2.28919,2.03375,1.4269,0.015,0.52941,0.05852,0.01669,2.74371,3.26046,1.65216,0.00043586,0.00043586,0.00043586
17,186.435,2.47758,2.16843,1.61429,0.015,0.52941,0.05852,0.01669,2.74371,3.26046,1.65216,0.000450912,0.000450912,0.000450912
18,196.633,2.33403,1.9175,1.42242,0.015,0.52941,0.07294,0.03968,2.701,3.1863,1.68846,0.00046438,0.00046438,0.00046438
19,207.005,2.30708,2.11057,1.40681,0.015,0.52941,0.07294,0.03968,2.701,3.1863,1.68846,0.000476264,0.000476264,0.000476264
20,216.642,2.22809,2.03449,1.48589,0.015,0.52941,0.07294,0.03968,2.701,3.1863,1.68846,0.000486564,0.000486564,0.000486564
21,226.252,2.4575,2.12423,1.45183,0.01667,0.58824,0.11607,0.03741,2.83921,3.02853,1.71124,0.00049528,0.00049528,0.00049528
22,235.858,2.26097,1.91395,1.44927,0.01667,0.58824,0.11607,0.03741,2.83921,3.02853,1.71124,0.000502412,0.000502412,0.000502412
23,246.594,2.41501,1.91308,1.43124,0.01667,0.58824,0.11607,0.03741,2.83921,3.02853,1.71124,0.00050796,0.00050796,0.00050796
24,257.021,2.20743,1.92768,1.50386,0.01667,0.58824,0.11607,0.03741,2.83921,3.02853,1.71124,0.000511924,0.000511924,0.000511924
25,271.936,2.35584,1.89308,1.42991,1,0.11412,0.19478,0.06662,2.81121,2.83622,1.67472,0.000514304,0.000514304,0.000514304
26,284.146,2.30661,2.11341,1.51603,1,0.11412,0.19478,0.06662,2.81121,2.83622,1.67472,0.0005151,0.0005151,0.0005151
27,294.009,2.47355,1.82125,1.42408,1,0.11412,0.19478,0.06662,2.81121,2.83622,1.67472,0.000514312,0.000514312,0.000514312
28,303.24,2.30241,1.8294,1.43289,1,0.11412,0.19478,0.06662,2.81121,2.83622,1.67472,0.00051194,0.00051194,0.00051194
29,312.822,2.42028,1.89382,1.39766,1,0.11412,0.19478,0.06662,2.81121,2.83622,1.67472,0.000507984,0.000507984,0.000507984
30,323.214,2.29114,1.74599,1.41713,1,0.10324,0.23802,0.07982,2.78951,2.67734,1.64397,0.000502444,0.000502444,0.000502444
31,334.032,2.06309,1.69877,1.35931,1,0.10324,0.23802,0.07982,2.78951,2.67734,1.64397,0.00049532,0.00049532,0.00049532
32,343.625,2.16904,1.89555,1.40808,1,0.10324,0.23802,0.07982,2.78951,2.67734,1.64397,0.000486612,0.000486612,0.000486612
33,354.186,2.1144,1.74299,1.39803,1,0.10324,0.23802,0.07982,2.78951,2.67734,1.64397,0.00047632,0.00047632,0.00047632
34,365.346,2.23071,1.91675,1.39296,1,0.10324,0.23802,0.07982,2.78951,2.67734,1.64397,0.000464444,0.000464444,0.000464444
35,377.177,2.16572,1.8196,1.347,1,0.10324,0.23802,0.07982,2.78951,2.67734,1.64397,0.000450984,0.000450984,0.000450984
36,386.969,2.34701,1.86268,1.42297,1,0.12716,0.31618,0.08453,2.76474,2.48664,1.63181,0.00043594,0.00043594,0.00043594
37,396.467,2.24393,1.82115,1.49079,1,0.12716,0.31618,0.08453,2.76474,2.48664,1.63181,0.000419312,0.000419312,0.000419312
38,405.993,2.24287,1.81926,1.4238,1,0.12716,0.31618,0.08453,2.76474,2.48664,1.63181,0.0004011,0.0004011,0.0004011
39,415.989,2.04462,1.80207,1.46705,1,0.12716,0.31618,0.08453,2.76474,2.48664,1.63181,0.000381304,0.000381304,0.000381304
40,425.688,2.24368,1.81844,1.31942,1,0.12716,0.31618,0.08453,2.76474,2.48664,1.63181,0.000359924,0.000359924,0.000359924
41,434.685,2.12496,2.09549,1.39991,1,0.12716,0.31618,0.08453,2.76474,2.48664,1.63181,0.00033696,0.00033696,0.00033696
42,443.818,2.1757,2.16272,1.39117,1,0.12716,0.31618,0.08453,2.76474,2.48664,1.63181,0.000312412,0.000312412,0.000312412
43,453.201,2.13595,2.01157,1.56995,1,0.17074,0.32917,0.09257,2.83083,2.28449,1.62476,0.00028628,0.00028628,0.00028628
44,462.637,1.97592,1.99314,1.36653,1,0.17074,0.32917,0.09257,2.83083,2.28449,1.62476,0.000258564,0.000258564,0.000258564
45,471.866,2.0863,2.01846,1.42457,1,0.17074,0.32917,0.09257,2.83083,2.28449,1.62476,0.000229264,0.000229264,0.000229264
46,481.227,1.9683,1.9967,1.4507,1,0.17074,0.32917,0.09257,2.83083,2.28449,1.62476,0.00019838,0.00019838,0.00019838
47,490.325,2.27301,2.01869,1.43114,1,0.17074,0.32917,0.09257,2.83083,2.28449,1.62476,0.000165912,0.000165912,0.000165912
48,500.067,1.94215,1.88717,1.40593,1,0.17074,0.32917,0.09257,2.83083,2.28449,1.62476,0.00013186,0.00013186,0.00013186
49,509.153,2.2146,2.21377,1.41934,1,0.17074,0.32917,0.09257,2.83083,2.28449,1.62476,9.6224e-05,9.6224e-05,9.6224e-05
50,518.405,2.10933,1.95494,1.42674,1,0.17074,0.32917,0.09257,2.83083,2.28449,1.62476,5.9004e-05,5.9004e-05,5.9004e-05
